threshold,net_benefit,treat_all,ci_lower,ci_upper
0.505,0.47334305623075673,0.3842164965159618,0.3764327769675364,0.57602765624156
0.51,0.4706973698570337,0.3779329913783695,0.3731201571537706,0.5744843391902216
0.515,0.46264953966591316,0.3715199294338166,0.36374662329786644,0.5676208721539224
0.52,0.44919786096256686,0.3649732620320855,0.35026737967914434,0.5534870766488413
0.525,0.44103574444131716,0.3582887700534759,0.3427877849704475,0.547706163805235
0.53,0.44419160314028894,0.35146205484127885,0.3445044942541814,0.5519569916941631
0.535,0.4413777241101719,0.3444885285492496,0.3410758438272671,0.5502400667011672
0.54,0.4447802836549639,0.33736340385956753,0.3413101604278075,0.5501278772378516
0.545,0.4366222013280836,0.33008168302285945,0.332959687371452,0.5424002468120114
0.55,0.433749257278669,0.3226381461675578,0.329159239453357,0.540701128936423
0.555,0.4254641591059304,0.31502733882112594,0.3199227903623145,0.5323889923691641
0.56,0.4117647058823529,0.30724355858045693,0.3038405444822557,0.519725328147788
0.5650000000000001,0.40334378265412746,0.2992808408629909,0.29109195402298854,0.5108273403405248
0.5700000000000001,0.3895037930605645,0.29113294366372333,0.2738092277079965,0.4979480164158686
0.5750000000000001,0.370242214532872,0.28279333123623773,0.25477351368354834,0.4781377791758414
0.5800000000000001,0.3669467787114845,0.2742551566080977,0.2498026483320601,0.4761904761904761
0.585,0.3582243412151279,0.2655112428322918,0.24342825848849955,0.4689275819856968
0.59,0.349419590452589,0.25655406286683197,0.233670275205426,0.46316029737837494
0.595,0.3458770713672674,0.2473757179639533,0.22915758896151064,0.46038489469862015
0.6,0.3422459893048128,0.23796791443850274,0.2245320855614974,0.4572860962566845
0.605,0.33852298111419477,0.22832193867190148,0.21914641575847832,0.4550649834156908
0.61,0.33470451117509936,0.21842863019333608,0.21362265185794596,0.4527869189633895
0.615,0.33398152649489554,0.2082783526633794,0.21640391693867628,0.4526824779498575
0.62,0.3301435406698565,0.19786096256684493,0.21164508865747256,0.4501055446101885
0.625,0.32620320855614976,0.1871657754010695,0.20672905525846702,0.4474598930481283
0.63,0.32215638097991045,0.17618152912270557,0.20114539673363205,0.44474273738979614
0.635,0.3273020291553733,0.1648963445901399,0.20215368837447806,0.45125448685078007
0.64,0.32739156268568037,0.15329768270944744,0.20259952465834818,0.4504456327985739
0.645,0.32341643443548995,0.14137229795887618,0.19753521126760562,0.4483429991714995
0.65,0.31932773109243695,0.1291061879297173,0.19173032849503435,0.44618029029793727
0.655,0.309772921026118,0.1164845384794233,0.18040959466790665,0.4386344261024568
0.66,0.3000943692985215,0.1034916640452972,0.17228688266750555,0.43065429380308273
0.665,0.306249501157315,0.09011094261313746,0.17822451911565163,0.43930281746348465
0.67,0.3074056068708475,0.07632474477394247,0.1774347755631178,0.44203127532004516
0.675,0.2924722336487041,0.06211435623200312,0.1599136157959688,0.42413615795968734
0.68,0.28275401069518713,0.047459893048128254,0.1503676470588235,0.41649398395721915
0.685,0.2728970376029199,0.0323402088107968,0.13892920804685507,0.40968296409472876
0.6900000000000001,0.2575470070726237,0.016732792823874187,0.12066154907710885,0.39441521476625835
0.6950000000000001,0.25273954589287273,0.0006136582800033707,0.11385333567107916,0.39217147365652666
0.7000000000000001,0.24242424242424235,-0.016042780748663277,0.09795008912655973,0.3832887700534759
0.7050000000000001,0.2319405420103326,-0.033263844829149125,0.08392323030907266,0.3802229674612526
0.71,0.21593214088143092,-0.05107873870551349,0.07368615157661819,0.36106859671768393
0.715,0.20508490477530728,-0.06951871657754005,0.060075992119335835,0.3526315789473684
0.72,0.19938884644767,-0.08861726508785328,0.05040106951871664,0.349942704354469
0.725,0.19688867282450176,-0.1084103062712688,0.05201750121536214,0.3422824501701507
0.73,0.19112695583283826,-0.12893642305406994,0.04337492572786694,0.3389185977421271
0.735,0.17980022197558274,-0.15023711028150522,0.02611492281303607,0.3317525981232974
0.74,0.1834635952283011,-0.17235705470999574,0.03654874537227484,0.33156108597285067
0.745,0.1774142812205096,-0.1953444479396036,0.02649680192932789,0.32637884030617587
0.75,0.1657754010695187,-0.2192513368983957,0.01604278074866311,0.3208556149732621
0.755,0.1757066462948816,-0.244134017243261,0.01798537596856929,0.32452526465131504
0.76,0.16934046345811052,-0.27005347593582896,0.008868092691622143,0.3226381461675579
0.765,0.15200819205825467,-0.2970758903174423,-0.008678461713505545,0.30199965866423933
0.77,0.14508253894443157,-0.32527319228086504,-0.019303650313880507,0.2987735410369681
0.775,0.12715389185977416,-0.35472370766488426,-0.04223113487819369,0.28348187759952465
0.78,0.11424404472532818,-0.38551288283908625,-0.05645357316480311,0.2756562955760817
0.785,0.12050739957716694,-0.41773411267255345,-0.04825270488745187,0.280437756497948
0.79,0.10211357270180793,-0.45148968678380463,-0.0679971988795519,0.26041507512095735
0.795,0.08869179600886912,-0.4868918742663365,-0.08461914699360895,0.25194339376548835
0.8,0.11229946524064166,-0.5240641711229949,-0.04826203208556146,0.267379679144385
0.805,0.11613876319758668,-0.5631427396133283,-0.04843685726038672,0.2632661456190868
0.81,0.1035744441317196,-0.6042780748663105,-0.06392485223754579,0.2550309597523219
0.8150000000000001,0.10348316230669163,-0.6476369417545892,-0.06361829744182697,0.2544262176615117
0.8200000000000001,0.09090909090909086,-0.6934046345811057,-0.07904040404040412,0.24486036838978004
0.8250000000000001,0.10847975553857903,-0.741787624140566,-0.04969442322383506,0.26126814362108475
0.8300000000000001,0.09059452658068565,-0.7930166719094062,-0.07213746461151309,0.2438738597043094
0.8350000000000001,0.07762113109706684,-0.8473505104521154,-0.09054043104845254,0.23475530708151016
0.84,0.06417112299465244,-0.9050802139037429,-0.11363636363636359,0.23128342245989303
0.845,0.05019837847162334,-0.9665344143522508,-0.1277859237536655,0.22028635501121274
0.85,0.035650623885918054,-1.0320855614973259,-0.15516934046345804,0.21042780748663095
0.855,0.04665314401622722,-1.1021574774110268,-0.13185967176839383,0.20967637838834594
0.86,0.026737967914438554,-1.1772345301757063,-0.16273873185637888,0.19482429335370513
0.865,0.04575163398692811,-1.2578728461081399,-0.13097147950089116,0.21489403842345023
0.87,0.03661044837515426,-1.3447141094199915,-0.14776840806252556,0.21184697655285895
0.875,0.016042780748663082,-1.4385026737967914,-0.1764705882352941,0.1978609625668449
0.88,-0.00534759358288775,-1.5401069518716577,-0.20686274509803915,0.18186274509803912
0.885,-0.02232039060683566,-1.6505463845617299,-0.2298070216228783,0.16903045803301558
0.89,-0.0456976178901313,-1.7710257656781723,-0.2669056878949927,0.15410792416140007
0.895,-0.06493506493506501,-1.902979373567609,-0.2928444104914694,0.1413992869875222
0.9,-0.042780748663101636,-2.0481283422459895,-0.2728609625668449,0.1498663101604277
0.905,-0.06220095693779909,-2.208556149732621,-0.31156768927666767,0.14157050379960595
0.91,-0.09387997623291747,-2.386809269162211,-0.3636512180629829,0.12253416518122388
